latitude,longitude,is_high_seas
-47.5,-180.0,1
-47.5,-156.96946198224808,1
-47.5,-133.93892396449615,1
-47.5,-110.90838594674425,1
-47.5,-87.87784792899231,1
-47.5,-64.84730991124039,0
-47.5,-41.81677189348847,1
-47.5,-18.786233875736546,1
-47.5,4.24430414201538,1
-47.5,27.274842159767303,1
-47.5,50.305380177519226,0
-47.5,73.33591819527115,1
-47.5,96.36645621302308,1
-47.5,119.396994230775,1
-47.5,142.42753224852692,1
-47.5,165.45807026627884,0
-33.986486486486484,-170.61759560481048,1
-33.986486486486484,-151.85278681443145,1
-33.986486486486484,-133.08797802405238,1
-33.986486486486484,-114.32316923367333,1
-33.986486486486484,-95.55836044329428,1
-33.986486486486484,-76.79355165291523,1
-33.986486486486484,-58.02874286253618,0
-33.986486486486484,-39.26393407215714,1
-33.986486486486484,-20.499125281778092,1
-33.986486486486484,-1.7343164913990528,1
-33.986486486486484,17.03049229897999,0
-33.986486486486484,35.79530108935903,1
-33.986486486486484,54.56010987973808,1
-33.986486486486484,73.32491867011711,1
-33.986486486486484,92.08972746049616,1
-33.986486486486484,110.8545362508752,1
-33.986486486486484,129.61934504125426,1
-33.986486486486484,148.3841538316333,0
-33.986486486486484,167.14896262201236,1
-33.986486486486484,185.9137714123914,1
-20.47297297297297,-180.0,1
-20.47297297297297,-163.39177329188993,1
-20.47297297297297,-146.78354658377987,1
-20.47297297297297,-130.1753198756698,1
-20.47297297297297,-113.56709316755976,1
-20.47297297297297,-96.9588664594497,1
-20.47297297297297,-80.35063975133964,1
-20.47297297297297,-63.74241304322959,0
-20.47297297297297,-47.13418633511954,0
-20.47297297297297,-30.52595962700948,1
-20.47297297297297,-13.917732918899423,1
-20.47297297297297,2.690493789210631,1
-20.47297297297297,19.298720497320687,0
-20.47297297297297,35.90694720543074,0
-20.47297297297297,52.51517391354079,1
-20.47297297297297,69.12340062165084,1
-20.47297297297297,85.7316273297609,1
-20.47297297297297,102.33985403787096,1
-20.47297297297297,118.948080745981,0
-20.47297297297297,135.55630745409107,0
-20.47297297297297,152.16453416220114,1
-20.47297297297297,168.7727608703112,0
-6.959459459459454,-172.16265249149075,1
-6.959459459459454,-156.48795747447224,1
-6.959459459459454,-140.81326245745373,0
-6.959459459459454,-125.13856744043522,1
-6.959459459459454,-109.46387242341672,1
-6.959459459459454,-93.7891774063982,1
-6.959459459459454,-78.1144823893797,0
-6.959459459459454,-62.4397873723612,0
-6.959459459459454,-46.765092355342695,0
-6.959459459459454,-31.0903973383242,1
-6.959459459459454,-15.415702321305698,1
-6.959459459459454,0.2589926957128048,1
-6.959459459459454,15.933687712731306,0
-6.959459459459454,31.60838272974981,0
-6.959459459459454,47.28307774676831,1
-6.959459459459454,62.957772763786814,1
-6.959459459459454,78.63246778080531,1
-6.959459459459454,94.30716279782382,1
-6.959459459459454,109.98185781484231,0
-6.959459459459454,125.65655283186084,0
-6.959459459459454,141.33124784887934,0
-6.959459459459454,157.00594286589785,0
